City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,qom,34.6401,50.8764,34.56,11,85,9.64,IR,1690228869
84,jayapura,-2.5333,140.7,24.66,94,80,1.44,ID,1690228819
85,bubaque,11.2833,-15.8333,27.65,77,100,5.11,GW,1690228870
86,baruun-urt,46.6806,113.2792,14.73,77,54,0.65,MN,1690228870
87,toliara,-23.35,43.6667,18.92,78,3,1.81,MG,1690228870
88,houlton,46.1262,-67.8403,29.78,37,0,4.63,US,1690228605
89,tupiza,-21.45,-65.7167,22.12,4,0,3.45,BO,1690228871
90,takoradi,4.8845,-1.7554,24.63,89,100,2.71,GH,1690228764
91,rio preto da eva,-2.6994,-59.6997,35.88,29,18,1.3,BR,1690228872
92,novodvinsk,64.4165,40.8122,11.29,97,60,2.08,RU,1690228872
93,fale old settlement,-9.3852,-171.2468,28.87,71,9,7.81,TK,1690228873
94,wailua homesteads,22.0669,-159.378,27.44,73,100,7.2,US,1690228670
95,port alfred,-33.5906,26.891,12.34,68,0,4.45,ZA,1690228589
96,shache,38.4167,77.2406,28.73,44,64,4.42,CN,1690228874
97,vilyuchinsk,52.9306,158.4028,15.15,84,22,4.62,RU,1690228875
98,rosetta,31.4044,30.4164,27.65,80,0,7.2,EG,1690228875
99,olonkinbyen,70.9221,-8.7187,4.98,92,100,5.92,SJ,1690228876
100,el hamma,33.8915,9.7963,37.62,19,0,5.92,TN,1690228876
101,xinyuan,37.3,99.0,4.93,91,22,1.85,CN,1690228644
102,avarua,-21.2078,-159.775,23.03,88,75,2.06,CK,1690228877
103,ilulissat,69.2167,-51.1,9.01,81,75,2.06,GL,1690228878
104,mil'kovo,55.6078,37.7956,15.23,95,100,1.34,RU,1690228878
105,port blair,11.6667,92.75,25.02,94,100,0.0,IN,1690228685
106,puerto ayora,-0.7393,-90.3518,28.98,96,78,4.02,EC,1690228879
107,fort st. john,56.2499,-120.8529,16.94,67,100,2.06,CA,1690228810
108,taoudenni,22.6783,-3.9836,43.21,11,72,2.75,ML,1690228879
109,lorengau,-2.0226,147.2712,25.0,90,100,2.51,PG,1690228880
110,encinitas,33.037,-117.292,37.92,73,93,1.79,US,1690228811
111,capao bonito,-24.0058,-48.3494,21.9,51,26,1.76,BR,1690228644
112,albany,42.6001,-73.9662,24.29,84,60,3.79,US,1690228567
113,port lincoln,-34.7333,135.8667,13.19,70,92,4.61,AU,1690228881
